Project Code	Project Name	Primary Site	Country	Donors (DCC)	Donors (All)	SSM	CNSM	STSM	SGV	METH-A	METH-S	EXP-A	EXP-S	PEXP	miRNA-S	JCN
BRCA-US	Breast Cancer - TCGA, US	Breast	United States	1045	1099	955	1045	0	0	1013	0	529	1041	298	1026	0
GBM-US	Brain Glioblastoma Multiforme - TCGA, US	Brain	United States	589	596	268	581	0	0	404	0	568	159	211	0	0
OV-US	Ovarian Serous Cystadenocarcinoma - TCGA, US	Ovary	United States	582	586	88	571	0	0	581	0	567	262	0	482	0
BRCA-EU	Breast ER+ and HER2- Cancer - EU/UK	Breast	European Union, United Kingdom	560	569	560	555	544	0	0	0	0	0	0	0	0
CLLE-ES	Chronic Lymphocytic Leukemia - ES	Blood	Spain	549	549	218	395	92	0	159	3	487	304	0	0	0
KIRC-US	Kidney Renal Clear Cell Carcinoma - TCGA, US	Kidney	United States	525	537	404	522	0	0	513	0	26	518	454	495	0
UCEC-US	Uterine Corpus Endometrial Carcinoma- TCGA, US	Uterus	United States	513	548	246	513	0	0	513	0	54	508	200	505	0
THCA-US	Head and Neck Thyroid Carcinoma - TCGA, US	Head and neck	United States	502	507	400	501	0	0	502	0	0	500	369	501	0
HNSC-US	Head and Neck Squamous Cell Carcinoma - TCGA, US	Head and neck	United States	494	528	0	492	0	0	494	0	0	481	212	492	0
LUAD-US	Lung Adenocarcinoma - TCGA, US	Lung	United States	485	522	0	484	0	0	481	0	29	478	0	474	0
COAD-US	Colon Adenocarcinoma - TCGA, US	Colorectal	United States	451	459	216	433	0	0	424	0	144	428	290	435	0
NBL-US	Neuroblastoma - TARGET, US	Nervous System	United States	448	606	108	318	0	0	0	0	249	0	0	0	0
STAD-US	Gastric Adenocarcinoma - TCGA, US	Stomach	United States	443	443	289	443	0	0	443	0	0	418	357	436	0
LGG-US	Brain Lower Grade Glioma - TCGA, US	Brain	United States	441	515	283	439	0	0	438	0	27	439	258	438	0
SKCM-US	Skin Cutaneous melanoma - TCGA, US	Skin	United States	433	471	335	433	0	0	430	0	0	430	0	412	0
LUSC-US	Lung Squamous Cell Carcinoma - TCGA, US	Lung	United States	431	504	178	431	0	0	427	0	154	428	195	404	0
PACA-AU	Pancreatic Cancer - AU	Pancreas	Australia	430	461	391	199	159	0	264	0	269	91	0	0	0
PBCA-DE	Pediatric Brain Cancer - DE	Brain	Germany	421	457	380	4	4	0	115	42	0	0	0	0	0
PRAD-US	Prostate Adenocarcinoma - TCGA, US	Prostate	United States	384	500	256	382	0	0	358	0	0	375	159	378	0
LIHC-US	Liver Hepatocellular carcinoma - TCGA, US	Liver	United States	317	377	188	314	0	0	243	0	0	294	0	313	0
PACA-CA	Pancreatic Cancer - CA	Pancreas	Canada	308	308	259	207	200	255	0	0	0	46	0	0	43
BLCA-US	Bladder Urothelial Cancer - TCGA, US	Bladder	United States	299	412	130	278	0	0	273	0	0	295	127	297	0
LICA-FR	Liver Cancer - FR	Liver	France	277	307	240	158	0	0	0	0	0	0	0	0	0
CESC-US	Cervical Squamous Cell Carcinoma - TCGA, US	Cervix	United States	261	308	194	256	0	0	243	0	0	259	0	261	0
LIRI-JP	Liver Cancer - RIKEN, JP	Liver	Japan	260	260	258	0	243	0	0	0	0	232	0	0	0
LINC-JP	Liver Cancer - NCC, JP	Liver	Japan	244	244	244	0	0	0	0	0	0	0	0	0	0
BTCA-JP	Biliary Tract Cancer - JP	Gall Bladder	Japan	239	239	239	0	0	0	0	0	0	0	0	0	0
ESCA-CN	Esophageal Cancer - CN	Esophagus	China	228	468	228	0	0	0	0	0	0	0	0	0	0
KIRP-US	Kidney Renal Papillary Cell Carcinoma - TCGA, US	Kidney	United States	223	291	159	222	0	0	216	0	6	222	0	223	0
ALL-US	Acute Lymphoblastic Leukemia - TARGET, US	Blood	United States	220	1002	27	0	0	0	0	0	207	0	0	0	0
ESAD-UK	Esophageal Adenocarcinoma - UK	Esophagus	United Kingdom	203	203	203	0	0	0	0	0	0	0	0	0	0
