keyspace	Project Code
icgc	BRCA-US
icgc	GBM-US
icgc	OV-US
icgc	BRCA-EU
icgc	CLLE-ES
icgc	KIRC-US
icgc	UCEC-US
icgc	THCA-US
icgc	HNSC-US
icgc	LUAD-US
icgc	COAD-US
icgc	NBL-US
icgc	STAD-US
icgc	LGG-US
icgc	SKCM-US
icgc	LUSC-US
icgc	PACA-AU
icgc	PBCA-DE
icgc	PRAD-US
icgc	LIHC-US
icgc	PACA-CA
icgc	BLCA-US
icgc	LICA-FR
icgc	CESC-US
icgc	LIRI-JP
icgc	LINC-JP
icgc	BTCA-JP
icgc	ESCA-CN
icgc	KIRP-US
icgc	ALL-US
icgc	ESAD-UK
icgc	LAML-US
icgc	COCA-CN
icgc	MELA-AU
icgc	READ-US
icgc	LICA-CN
icgc	AML-US
icgc	LAML-KR
icgc	PAAD-US
icgc	BRCA-UK
icgc	ORCA-IN
icgc	CMDI-UK
icgc	THCA-SA
icgc	WT-US
icgc	PRAD-CA
icgc	RECA-EU
icgc	MALY-DE
icgc	PRAD-UK
icgc	BLCA-CN
icgc	BRCA-FR
icgc	BOCA-FR
icgc	OV-AU
icgc	SKCA-BR
icgc	BOCA-UK
icgc	LUSC-KR
icgc	PAEN-AU
icgc	LAML-CN
icgc	EOPC-DE
icgc	PAEN-IT
icgc	BRCA-KR
icgc	LIAD-FR
icgc	CCSK-US
icgc	LUSC-CN
icgc	RECA-CN
icgc	GACA-CN
icgc	LIHM-FR
icgc	KICH-US
icgc	DLBC-US
icgc	BTCA-SG
icgc	SARC-US
